Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013]
Slovak Republic,SVK,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,44983.089,40296.663,39603.6,42152.165,41433.433,40626.693,41558.111,40615.692,37311.725,39357.911,39251.568,39493.59,38749.189,39174.561,38928.872,36600.327,37557.414,33890.414,36094.281,..,..,..
Slovenia,SVN,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,12478.801,13164.53,13340.546,14403.976,14954.026,15859.775,15192.381,15232.718,14264.63,15163.045,15419.735,15500.409,15746.098,15867.109,16244.81,16211.807,17179.895,15309.725,15328.06,..,..,..
Solomon Islands,SLB,CO2 emissions (kt),EN.ATM.CO2E.KT,161.348,161.348,161.348,157.681,154.014,161.348,161.348,161.348,161.348,165.015,165.015,172.349,172.349,179.683,179.683,179.683,179.683,198.018,198.018,198.018,201.685,..,..,..
Somalia,SOM,CO2 emissions (kt),EN.ATM.CO2E.KT,18.335,3.667,11.001,11.001,11.001,11.001,..,..,..,..,517.047,502.379,572.052,575.719,575.719,579.386,575.719,605.055,608.722,594.054,608.722,..,..,..
South Africa,ZAF,CO2 emissions (kt),EN.ATM.CO2E.KT,333513.65,346337.149,324852.196,342549.138,358929.627,353458.463,358639.934,371327.754,372218.835,371034.394,368610.507,362743.307,347686.605,380810.616,427132.16,396116.674,424843.952,443648.328,465023.271,503941.142,460124.159,..,..,..
South Sudan,SSD,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Spain,ESP,CO2 emissions (kt),EN.ATM.CO2E.KT,218864.895,225857.864,234057.276,219407.611,233558.564,241732.307,233422.885,252168.589,261563.443,282384.669,294434.431,297830.073,314518.59,321097.188,339428.521,353462.13,350037.152,358236.564,329285.599,288237.201,269674.847,..,..,..
Sri Lanka,LKA,CO2 emissions (kt),EN.ATM.CO2E.KT,3773.343,4063.036,5056.793,4902.779,5408.825,5797.527,6952.632,7506.349,7763.039,8536.776,10161.257,10245.598,11008.334,10659.969,11965.421,11642.725,11738.067,12456.799,11892.081,12830.833,12709.822,..,..,..
St. Kitts and Nevis,KNA,CO2 emissions (kt),EN.ATM.CO2E.KT,66.006,73.34,73.34,84.341,88.008,95.342,102.676,102.676,102.676,102.676,102.676,183.35,198.018,220.02,227.354,234.688,234.688,249.356,249.356,260.357,249.356,..,..,..
St. Lucia,LCA,CO2 emissions (kt),EN.ATM.CO2E.KT,165.015,172.349,205.352,227.354,264.024,311.695,330.03,311.695,308.028,319.029,330.03,363.033,326.363,359.366,355.699,366.7,366.7,385.035,396.036,385.035,403.37,..,..,..
